year,id,state,age,pid_3,race_7,educ_6,gender,understanding_poli_issue,interest_public_affairs,income_group,marital_stat,trust_ppl,religion_importance,traditional_values,abortion_allowed,environment_regulation,defense_spending,protect_homosexuals,immigrants_change6,gun_control,treatment,nationality,race,pid,education
2020,2020534589,NC,58,1,2,4,Female,Very well,,0 to 16 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",Once in a while,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,6,Favor,Same as now,Keep these rules about the same,Treatment1,American,Black non-Hispanic,Democrat,"12 grades, diploma or equivalency plus non-academic"
2020,2020235486,AZ,76,3,1,5,Female,Very well,,17 to 33 percentile,Divorced,About half the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",Regulations already too much of a burden on business,4,Favor,Same as now,Keep these rules about the same,Treatment2,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020208330,NC,29,1,1,6,Male,Slightly well,,17 to 33 percentile,Never married,Most of the time,Little to no importance,Disagree strongly,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,5,Favor,Decreased a little,More difficult,Treatment4,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020463793,CA,27,1,3,6,Male,Moderately well,,68 to 95 percentile,Never married,Most of the time,Little to no importance,Neither agree nor disagree,"By law, a woman should always be able to obtain an",2,DK; haven't thought much about it,Favor,Increased a lot,More difficult,Treatment4,American,"Asian or Pacific Islander, non-Hispanic",Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020226680,NY,48,2,1,3,Male,Moderately well,,17 to 33 percentile,Married,About half the time,Little to no importance,Agree strongly,"By law, a woman should always be able to obtain an",5,4,Favor,Same as now,Make it easier,Treatment1,American,White non-Hispanic,Independent,"12 grades, diploma or equivalency"
2020,2020507730,CA,65,3,1,5,Male,Moderately well,,68 to 95 percentile,Married,Most of the time,Little to no importance,Neither agree nor disagree,The law should permit abortion for reasons other than,4,5,Favor,Same as now,Keep these rules about the same,Treatment2,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020355458,IL,18,2,1,3,Female,Moderately well,,17 to 33 percentile,Never married,Never,"Yes, important",Neither agree nor disagree,"By law, abortion should never be permitted",DK; haven't thought much about it,DK; haven't thought much about it,Oppose,Decreased a lot,Keep these rules about the same,Treatment2,American,White non-Hispanic,Independent,"12 grades, diploma or equivalency"
2020,2020422372,CA,73,1,1,6,Female,Moderately well,,68 to 95 percentile,Widowed,About half the time,"Yes, important",Neither agree nor disagree,"By law, a woman should always be able to obtain an",2,DK; haven't thought much about it,Favor,Increased a lot,More difficult,Treatment2,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020230955,CO,60,3,1,6,Female,Moderately well,,34 to 67 percentile,Never married,Most of the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",4,5,Favor,Same as now,More difficult,Treatment3,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020451684,MA,63,1,1,6,Male,Very well,,17 to 33 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",Most of the time,"Yes, important",Neither agree nor disagree,"By law, a woman should always be able to obtain an",3,6,Favor,Same as now,Keep these rules about the same,Treatment1,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020227836,FL,45,3,1,6,Male,Extremely well,,96 to 100 percentile,Married,Once in a while,Little to no importance,Agree strongly,"The law should permit abortion only in case of rape,",3,5,Oppose,Increased a little,Make it easier,Treatment4,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020321585,NV,23,3,1,5,Female,Moderately well,,34 to 67 percentile,Married,About half the time,"Yes, important",Neither agree nor disagree,DK; other,Regulations already too much of a burden on business,5,Favor,Same as now,Keep these rules about the same,Treatment1,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020230535,MO,51,1,1,6,Female,Moderately well,,34 to 67 percentile,Married,Most of the time,Little to no importance,Neither agree nor disagree,"By law, a woman should always be able to obtain an",2,3,Favor,Same as now,More difficult,Treatment3,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020312697,FL,72,1,1,5,Female,Moderately well,,0 to 16 percentile,Divorced,About half the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",2,6,Favor,Decreased a little,More difficult,Treatment4,American,White non-Hispanic,Democrat,"Some college, no degree; junior/community college"
2020,2020304795,GA,32,3,1,3,Male,Slightly well,,17 to 33 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",Once in a while,Little to no importance,Agree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,5,Favor,Same as now,Keep these rules about the same,Treatment2,American,White non-Hispanic,Republican,"12 grades, diploma or equivalency"
2020,2020405889,VA,44,3,5,4,Female,Moderately well,,96 to 100 percentile,Married,About half the time,"Yes, important",Neither agree nor disagree,"By law, a woman should always be able to obtain an",3,5,Favor,Same as now,More difficult,Treatment3,American,Hispanic,Republican,"12 grades, diploma or equivalency plus non-academic"
2020,2020222527,IL,80,3,1,6,Female,Moderately well,,34 to 67 percentile,Widowed,Most of the time,"Yes, important",Neither agree nor disagree,"By law, a woman should always be able to obtain an",5,6,Favor,Same as now,More difficult,Treatment2,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020460534,TX,26,1,1,5,Female,No response,,17 to 33 percentile,Married,Once in a while,Little to no importance,No response,The law should permit abortion for reasons other than,Much tougher regulations to protet the environment,4,Favor,No response,No response,Treatment4,American,White non-Hispanic,Democrat,"Some college, no degree; junior/community college"
2020,2020414630,MI,29,2,1,6,Female,Moderately well,,34 to 67 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",About half the time,"Yes, important",Agree somewhat,DK; other,DK; haven't thought much about it,5,Favor,Same as now,Keep these rules about the same,Treatment4,American,White non-Hispanic,Independent,BA level degrees; advanced degrees incl. LLB
2020,2020337146,NC,62,3,1,6,Female,Very well,,34 to 67 percentile,Widowed,About half the time,"Yes, important",Agree strongly,The law should permit abortion for reasons other than,4,4,Favor,Decreased a lot,Keep these rules about the same,Treatment4,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020348856,IN,45,2,1,5,Male,Moderately well,,34 to 67 percentile,Married,About half the time,"Yes, important",Neither agree nor disagree,"By law, abortion should never be permitted",4,5,Favor,Same as now,Keep these rules about the same,Treatment1,American,White non-Hispanic,Independent,"Some college, no degree; junior/community college"
2020,2020215550,MT,80,1,1,6,Male,Very well,,34 to 67 percentile,Married,Most of the time,"Yes, important",Agree somewhat,The law should permit abortion for reasons other than,2,4,Favor,Increased a little,More difficult,Treatment2,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020445115,AL,56,3,1,3,Female,Moderately well,,0 to 16 percentile,Separated,About half the time,Little to no importance,Neither agree nor disagree,The law should permit abortion for reasons other than,4,Greatly increase defense spending,Favor,Decreased a lot,Keep these rules about the same,Treatment2,American,White non-Hispanic,Republican,"12 grades, diploma or equivalency"
2020,2020456399,MN,72,1,1,3,Female,Slightly well,,0 to 16 percentile,Divorced,About half the time,Little to no importance,Agree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,4,Favor,Same as now,More difficult,Treatment2,American,White non-Hispanic,Democrat,"12 grades, diploma or equivalency"
2020,2020453666,OK,76,3,5,6,Male,No response,,17 to 33 percentile,Married,Most of the time,"Yes, important",No response,The law should permit abortion for reasons other than,5,6,Favor,No response,No response,Treatment3,American,Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020523015,MI,58,1,1,6,Male,Extremely well,,68 to 95 percentile,Married,Most of the time,Little to no importance,Neither agree nor disagree,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,3,Favor,Same as now,More difficult,Treatment3,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020300526,MI,47,3,1,5,Male,Slightly well,,68 to 95 percentile,Divorced,Once in a while,Little to no importance,Neither agree nor disagree,"By law, a woman should always be able to obtain an",2,6,Favor,Same as now,Keep these rules about the same,Treatment2,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020431598,AR,23,1,2,3,Female,Very well,,0 to 16 percentile,Married,Once in a while,"Yes, important",Agree somewhat,The law should permit abortion for reasons other than,DK; haven't thought much about it,DK; haven't thought much about it,Oppose,Increased a lot,Make it easier,Treatment2,American,Black non-Hispanic,Democrat,"12 grades, diploma or equivalency"
2020,2020204857,FL,69,1,1,5,Female,Moderately well,,17 to 33 percentile,Never married,Most of the time,"Yes, important",Agree strongly,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,Greatly increase defense spending,Favor,Same as now,More difficult,Treatment2,American,White non-Hispanic,Democrat,"Some college, no degree; junior/community college"
2020,2020208026,OH,70,1,2,2,Female,Very well,,0 to 16 percentile,Divorced,About half the time,"Yes, important",Neither agree nor disagree,"By law, a woman should always be able to obtain an",DK; haven't thought much about it,DK; haven't thought much about it,Favor,Increased a lot,More difficult,Treatment4,American,Black non-Hispanic,Democrat,"9-12 grades ('high school'), no diploma/equivalency; ; less than high school"
2020,2020415343,WI,53,3,1,5,Male,No response,,34 to 67 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",Once in a while,"Yes, important",No response,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,3,Favor,No response,No response,Treatment4,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020408291,MN,70,2,1,4,Female,No response,,17 to 33 percentile,Widowed,Most of the time,"Yes, important",No response,The law should permit abortion for reasons other than,3,4,Favor,No response,No response,Treatment1,American,White non-Hispanic,Independent,"12 grades, diploma or equivalency plus non-academic"
2020,2020432126,MS,74,3,1,6,Male,Very well,,68 to 95 percentile,Married,Once in a while,"Yes, important",Agree strongly,"By law, abortion should never be permitted",6,6,Favor,Decreased a lot,Keep these rules about the same,Treatment1,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020425197,MS,41,3,1,4,Female,Moderately well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Neither agree nor disagree,The law should permit abortion for reasons other than,6,5,Favor,Same as now,More difficult,Treatment2,American,White non-Hispanic,Republican,"12 grades, diploma or equivalency plus non-academic"
2020,2020200718,AZ,60,3,1,5,Male,No response,,34 to 67 percentile,Married,Once in a while,"Yes, important",No response,DK; other,5,4,Favor,No response,No response,Treatment3,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020522180,OK,42,3,1,6,Male,Very well,,34 to 67 percentile,Married,About half the time,"Yes, important",Agree strongly,"By law, abortion should never be permitted",6,6,Favor,Same as now,Keep these rules about the same,Treatment4,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020360825,VA,72,1,1,6,Female,Moderately well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Neither agree nor disagree,"By law, a woman should always be able to obtain an",2,3,Favor,Same as now,More difficult,Treatment1,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020429656,TN,80,3,1,5,Male,Moderately well,,34 to 67 percentile,Married,Once in a while,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",Regulations already too much of a burden on business,4,Favor,Decreased a little,More difficult,Treatment3,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020219453,TX,38,3,5,6,Male,Very well,,68 to 95 percentile,Married,About half the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",Much tougher regulations to protet the environment,6,Favor,Decreased a little,More difficult,Treatment3,American,Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020413286,FL,58,3,1,4,Male,Moderately well,,34 to 67 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",Once in a while,Little to no importance,Agree somewhat,"The law should permit abortion only in case of rape,",Regulations already too much of a burden on business,5,Oppose,Decreased a lot,Keep these rules about the same,Treatment4,American,White non-Hispanic,Republican,"12 grades, diploma or equivalency plus non-academic"
2020,2020326412,TX,65,1,1,6,Male,Very well,,96 to 100 percentile,Divorced,Most of the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",2,3,Favor,Same as now,More difficult,Treatment1,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020315887,VA,28,1,1,6,Female,Moderately well,,17 to 33 percentile,Never married,About half the time,Little to no importance,Disagree strongly,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,2,Favor,Same as now,More difficult,Treatment1,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020234452,IA,52,3,1,6,Female,Moderately well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Agree somewhat,"The law should permit abortion only in case of rape,",Much tougher regulations to protet the environment,4,Favor,Same as now,Keep these rules about the same,Treatment4,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020401443,CA,53,3,5,5,Male,Moderately well,,34 to 67 percentile,Never married,About half the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",4,5,Favor,Same as now,More difficult,Treatment3,American,Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020215383,GA,63,3,4,3,Female,Moderately well,,17 to 33 percentile,Divorced,Most of the time,"Yes, important",Agree strongly,"By law, abortion should never be permitted",6,Greatly increase defense spending,Favor,Same as now,Make it easier,Treatment2,American,American Indian or Alaska Native non-Hispanic,Republican,"12 grades, diploma or equivalency"
2020,2020401658,TX,49,1,1,6,Male,Moderately well,,68 to 95 percentile,Married,About half the time,Little to no importance,Disagree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,3,Favor,Increased a little,More difficult,Treatment2,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020233732,CT,43,3,1,6,Female,Very well,,68 to 95 percentile,Married,About half the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",4,5,Favor,Same as now,More difficult,Treatment3,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020530174,TN,56,3,6,6,Female,Not well at all,,0 to 16 percentile,Divorced,About half the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,5,Favor,Same as now,Keep these rules about the same,Treatment4,American,"Other or multiple races, non-Hispanic",Republican,BA level degrees; advanced degrees incl. LLB
2020,2020451202,NJ,57,3,1,4,Female,Moderately well,,34 to 67 percentile,Married,Most of the time,Little to no importance,Agree strongly,The law should permit abortion for reasons other than,Regulations already too much of a burden on business,4,Favor,Decreased a lot,Make it easier,Treatment2,American,White non-Hispanic,Republican,"12 grades, diploma or equivalency plus non-academic"
2020,2020457453,NC,57,1,1,6,Female,Moderately well,,No response,Married,About half the time,Little to no importance,No response,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,Greatly decrease defense spending,Favor,Increased a lot,More difficult,Treatment3,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020432898,TN,50,3,2,6,Male,Moderately well,,17 to 33 percentile,Divorced,About half the time,"Yes, important",Agree somewhat,"The law should permit abortion only in case of rape,",Much tougher regulations to protet the environment,3,Favor,Decreased a little,More difficult,Treatment4,American,Black non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020463564,MD,68,1,1,6,Male,Extremely well,,96 to 100 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",Most of the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,3,Favor,Increased a little,Keep these rules about the same,Treatment1,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020226871,IL,47,3,1,5,Male,Moderately well,,34 to 67 percentile,Married,About half the time,"Yes, important",Neither agree nor disagree,"The law should permit abortion only in case of rape,",5,5,Favor,Same as now,Keep these rules about the same,Treatment1,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020332905,IL,34,1,1,6,Female,Very well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Agree strongly,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,2,Favor,Increased a little,More difficult,Treatment3,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020333144,OH,56,3,1,6,Female,Moderately well,,68 to 95 percentile,Divorced,Most of the time,"Yes, important",Agree somewhat,The law should permit abortion for reasons other than,DK; haven't thought much about it,5,Favor,Decreased a lot,More difficult,Treatment2,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020337726,KS,60,1,1,6,Female,Very well,,68 to 95 percentile,Divorced,About half the time,Little to no importance,Disagree somewhat,"By law, a woman should always be able to obtain an",2,5,Favor,Increased a little,More difficult,Treatment3,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020413835,TX,42,3,5,6,Female,Very well,,34 to 67 percentile,Married,About half the time,"Yes, important",Agree strongly,"By law, abortion should never be permitted",5,5,Oppose,Same as now,Keep these rules about the same,Treatment1,American,Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020531160,IL,32,1,1,6,Male,Extremely well,,68 to 95 percentile,Married,Most of the time,Little to no importance,Disagree somewhat,"By law, a woman should always be able to obtain an",3,2,Favor,Increased a little,More difficult,Treatment3,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020406295,NY,48,2,1,5,Male,Moderately well,,68 to 95 percentile,Married,Once in a while,"Yes, important",Agree strongly,The law should permit abortion for reasons other than,4,5,Favor,Same as now,Keep these rules about the same,Treatment3,American,White non-Hispanic,Independent,"Some college, no degree; junior/community college"
2020,2020431772,VA,80,1,1,6,Male,Moderately well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",4,3,Favor,Increased a little,More difficult,Treatment4,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020300908,NY,73,1,1,9,Male,Extremely well,,68 to 95 percentile,Married,Most of the time,Little to no importance,Disagree strongly,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,Greatly decrease defense spending,Favor,Increased a lot,More difficult,Treatment2,American,White non-Hispanic,Democrat,No response
2020,2020422051,AZ,60,1,1,4,Female,Very well,,34 to 67 percentile,Divorced,Most of the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",3,5,Favor,Same as now,More difficult,Treatment4,American,White non-Hispanic,Democrat,"12 grades, diploma or equivalency plus non-academic"
2020,2020365523,SC,34,1,2,6,Male,No response,,34 to 67 percentile,Never married,About half the time,"Yes, important",No response,"By law, a woman should always be able to obtain an",DK; haven't thought much about it,4,Favor,No response,No response,Treatment2,American,Black non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020323956,MI,39,1,2,3,Female,Slightly well,,17 to 33 percentile,Divorced,Once in a while,"Yes, important",Agree strongly,The law should permit abortion for reasons other than,5,5,Favor,Same as now,More difficult,Treatment2,American,Black non-Hispanic,Democrat,"12 grades, diploma or equivalency"
2020,2020225212,CA,29,1,3,6,Female,Moderately well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Disagree strongly,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,3,Favor,Same as now,More difficult,Treatment1,American,"Asian or Pacific Islander, non-Hispanic",Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020411327,NJ,56,3,1,5,Female,Very well,,0 to 16 percentile,Divorced,Never,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",3,Greatly increase defense spending,Favor,Decreased a lot,Keep these rules about the same,Treatment4,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020508511,TX,65,3,1,6,Male,Very well,,34 to 67 percentile,Married,About half the time,"Yes, important",Agree strongly,"By law, a woman should always be able to obtain an",3,6,Favor,Increased a little,Keep these rules about the same,Treatment4,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020532620,FL,60,3,5,5,Male,Very well,,68 to 95 percentile,Divorced,Most of the time,Little to no importance,Agree somewhat,"By law, a woman should always be able to obtain an",4,5,Favor,Same as now,Keep these rules about the same,Treatment1,American,Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020437718,AL,69,1,2,4,Male,Very well,,No response,Divorced,About half the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,Greatly increase defense spending,Favor,Same as now,More difficult,Treatment4,American,Black non-Hispanic,Democrat,"12 grades, diploma or equivalency plus non-academic"
2020,2020365028,GA,22,3,1,6,Male,Very well,,17 to 33 percentile,Never married,Once in a while,Little to no importance,Agree strongly,"The law should permit abortion only in case of rape,",6,3,Favor,Increased a little,Make it easier,Treatment3,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020202318,NH,69,3,1,6,Male,Very well,,68 to 95 percentile,Married,Most of the time,Little to no importance,Agree somewhat,"By law, a woman should always be able to obtain an",4,5,Oppose,Increased a little,More difficult,Treatment1,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
